Website,Avg_Daily_Visitors,Avg_Daily_Pageviews,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Traffic_Rank
www.dba.dk,150414,1579354,4,1,3190,276,0,3,0.01152,0.012096,0.003312,0.00289,10.56,5285
www.bt.dk,180518,707632,9,6,10900,88,1,41,0.0144,0.013824,0.001344,0.001296,3.456,5880
www.emu.dk,176441,388172,0,0,19,12,2,60,0.009216,0.013248,0.000518,0.00068,2.112,7778
www.politiken.dk,132253,317409,2,760,592,526,6,24,0.0096,0.010368,0.000624,0.000566,2.4,9493
www.trustpilot.com,425894,1281943,0,1,5770,715,0,21,0.02496,0.03264,0.00095,0.00215,1.536,1548
www.steamcommunity.com,5930773,20223938,2,3650,463,29,0,10,0.59328,0.4848,0.052128,0.040301,3.312,154
www.dmi.dk,130684,274436,3,0,709,34,0,595,0.010505,0.009053,0.000535,0.000438,1.91,12389
www.ku.dk,101141,586622,0,1,24,57,0,3,0.007258,0.00765,0.000898,0.000993,4.775,10410
www.pricerunner.dk,79297,348912,1,0,300,191,0,715,0.007163,0.006379,0.000745,0.000633,4.2975,12638
www.ordnet.dk,84881,212204,0,16,9,2,0,35,0.008118,0.005778,0.000535,0.000348,2.7695,16385
www.au.dk,85584,385130,0,0,232,1030,0,1,0.006112,0.007239,0.000506,0.000798,3.1515,10737
www.e-boks.dk,65548,262194,0,0,66,26,0,9,0.004107,0.005568,0.00043,0.000523,4.011,12526
www.skoleintra.dk,60091,300453,0,0,85,19,0,0,0.004489,0.004708,0.000583,0.000516,5.0615,17068
www.nemlog-in.dk,86529,233628,0,0,1,0,0,0,0.006494,0.006513,0.000392,0.000394,2.483,10197
www.google.dj,13911,30606,4,0,19,0,0,5,0.001146,0.002034,0.000054,0.00018,1.8145,32822
www.google.so,54411,261174,2,0,11,22,0,0,0.00468,0.00425,0.000525,0.000464,4.775,18719
www.voirfilms.biz,708970,4891895,0,0,0,0,0,0,0.07104,0.026496,0.012,0.004512,6.624,7960
